SMILES,IC50
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,8.9
CC1=CC2C(C(CC(=CC(C1)O)C)OC(=O)C(=CCOC(=O)C)C)C(=C)C(=O)O2,8.899876391
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CCC=C2C)C,8.888190955
CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OCC6(C=CC5=O)C)C)CC(=O)OC)C,8.839779006
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CCC(C)(C)O)O)C,8.832046332
CC(=CCC12C(=O)C3(CC(C1(C)C)C(C(C3=O)(C2=O)C(=O)C4=CC(=C(C=C4)O)O)C=C(C)C)CC(CCC(=C)C)C(=C)C)C,8.821571238
CN1CCC2=CC(=C3C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7=NCCC8=CC(=C(O4)C=C87)O3)O)OC,8.818148555
CC12C(CC3=C1C(=O)C4=C(C3=O)C=CC=C4O)C(=O)C5=C(C2=O)C=CC=C5O,8.816457387
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,8.8
CC1=CC2C(CCC3(C(O3)CCC4=CC(C1)OC4=O)C)C(=C)C(=O)O2,8.8
COC1=CC2=C(C=C1)C3=NC=CC4=CC(=C(C(=C43)C2=O)NCCC5=CC=C(C=C5)O)OC,8.8
COC1=CC2=CC3=C(C(=C2C=C1OC)C4=CC5=C(C=C4)OCO5)C(=O)OC3,8.783969256
CC12CCC3C(C4C(O4)(CCC1O2)C)OC(=O)C3=C,8.777239709
CC(=O)OC12C(CC3=CC(=C(C(=C3C1C4=CC5=C(C=C4)OCO5)OC)OC)OC)COC2=O,8.764241893
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,8.758484782
C1CCN2C(C1)C34CC2C=CC3=CC(=O)O4,8.74528215
CC1=CC2=C(C(=C1)O)C(=O)C=C(C2=O)OC,8.707607699
COC1=C(C=C(C=C1)C=CC2CCC=CC2C3=CC(=C(C=C3)OC)OC)OC,8.7
CC1C(C(C1C2=CC(=C(C=C2OC)OC)OC)C3=CC(=C(C=C3OC)OC)OC)C,8.7
CC(=CCC1=C(C2=C(C=C1O)OC3=CC(=C(C(=C3C2=O)CC=C(C)C)OC)OC)O)C,8.692579505
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CC(=O)C=C2C)C,8.664259928
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)(C)C)CCC(=C)C)C,8.626410086
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)(C)C)CC=C(C)C)C,8.626410086
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)C)O)O)O)O)C)C)C)OC1,8.618066123
CN1CCC2=CC(=C3C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7=NCCC8=CC(=C(O4)C=C87)O3)O)OC,8.616904501
CC1CC2(C(C2(C)C)C3C1(C4C=C(C(=O)C4(CC(=C3)CO)O)C)O)OC(=O)C,8.61
CC1=C2CC3C(=C)C(=O)C=CC3(CC2OC1=O)C,8.6
C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,8.6
CC1(C2CCC3(C(C2(CCC1=O)C)CCC4C3(CCC5(C4C6C(C5)OC(=O)C6=C)C)C)C)C,8.6
C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O,8.584961516
COC1=C(C=CC(=C1)CCC(CC(CCC2=CC(=C(C=C2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O,8.577964163
CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C(=O)C)O)C)C)OC)NC,8.541793777
CC1=C2C(=C3C(=C1)C4=CC=CC=C4N3)C=CC(O2)(C)CCC=C(C)C,8.53952927
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,8.539522663
CC1CCC=C2C1(C(CC2)C(=O)C(=C)CO)C,8.534972048
CCCCCCCCCCCCCCCC(CC(CO)O)O,8.530805687
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,8.517626451
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3O)OC)OC)OC)O)OC,8.5
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,8.5
CC(=CCC1=C(OC2=C3C=CC(OC3=CC(=C2C1=O)O)(C)C)C4=C(C=C(C=C4)O)O)C,8.5
CC1=C2CCC3(C(C2(C=C(C1=O)O)C)CC=C4C3(C(C(=O)C5C4CC(CC5)(C)C)O)C)C,8.5
CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(C)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O,8.5
C1=CC(=CC=C1C#CC=CCOC2=CC=C(C=C2)O)O,8.5
C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4,8.5
CS(=O)CCCCN=C=S,8.49
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,8.484429501
CCCCCC(C(CCCCCCC(C1CCC(O1)CCCCCCCCCCC(CC2=CC(OC2=O)C)O)O)O)O,8.443625398
CC1C2C(CC3C2(CCC4C3CC=C5C4(C(C(C(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)O)O)C)C)OC19CCC(=C)CO9,8.415300546
COC1=C(C=C(C=C1)C=CC=C)OC,8.410428932
CC(=CCC1=C2C(=CC(=C1OC)O)OC3=CC4=C(C(C(O4)C(C)(C)O)O)C(=C3C2=O)O)C,8.406779661
CC(=CCC1=C(C(=CC2=C1C(=O)C3=C(C4=C(C=C3O2)OC(C4O)C(C)(C)O)O)O)OC)C,8.406779661
