SMILES,IC50
CC1(CCC23CCC4(C(C2C1OC3=O)CCC5C4(CCC6C5(CCC(C6(C)C)O)C)C)C)C,75
CC1CC2C(C(CC3(CC(C1(O3)O)O)C)OC(=O)C(C)C)C(=C)C(=O)O2,27.14440825
CC1CC2C(C(CC3(CC(C1(O3)O)O)C)OC(=O)C(C)C)C(=C)C(=O)O2,54.2888165
C=C(CO)C1CC2=CC3=C(C=C2O1)OCC4C3OC5=CC6=C(C=C45)OCO6,54.4
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC)OC,29
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC)OC,38
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC)OC,40
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,30.60946441
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,84.80426292
CC1=C(C(OC1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C,97.76833156
COC1=CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O,35.8
COC1=CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O,48.4
COC1=CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O,89.1
COC1=CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O,91.8
COC1=CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O,100
C1=CC=C(C=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,127.0156107
CC(CCC=C(C)C)C12CCC(C=C1)(OO2)C,23.4
COC1=C(C=C2C(=C1)C3COC4=C(C3O2)C=CC(=C4)O)O,53.47911136
COC1=C(C=C2C(=C1)C3COC4=C(C3O2)C=CC(=C4)O)O,63.99329328
COC1=C(C=C2C(=C1)C3COC4=C(C3O2)C=CC(=C4)O)O,114.8525919
CC(=O)OC1CCC2(CCC(CC2C1(C)O)C=CC(=O)OC)C,30.82614057
CC(=O)OC1CCC2(CCC(CC2C1(C)O)C=CC(=O)OC)C,61.65228113
CC1=C(C=C2C(=C1)C(=O)C=C3C2(CCC(C3(C)C)O)C)O,20
CC1=C(C=C2C(=C1)C(=O)C=C3C2(CCC(C3(C)C)O)C)O,21.8
CC1=C(C=C2C(=C1)C(=O)C=C3C2(CCC(C3(C)C)O)C)O,22
CC1=C(C=C2C(=C1)C(=O)C=C3C2(CCC(C3(C)C)O)C)O,26.5
CC1=C(C=C2C(=C1)C(=O)C=C3C2(CCC(C3(C)C)O)C)O,31.6
CC1=C(C=C2C(=C1)C=CC3C2(CCC(C3(C)C)O)C)O,21.1
CC1=C(C=C2C(=C1)C=CC3C2(CCC(C3(C)C)O)C)O,21.8
CC1=C(C=C2C(=C1)C=CC3C2(CCC(C3(C)C)O)C)O,22.9
CC1=C(C=C2C(=C1)C=CC3C2(CCC(C3(C)C)O)C)O,23.7
CC1=C(C=C2C(=C1)C=CC3C2(CCC(C3(C)C)O)C)O,31.8
CC(CC=CC(C)(C)O)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C,10
CC(C)C(=O)OC1CC2(C(CC(C(=C)C2C3C1C(=C)C(=O)O3)OC(=O)C)O)C,15.03567788
CC(C)C(=O)OC1CC2(C(CC(C(=C)C2C3C1C(=C)C(=O)O3)OC(=O)C)O)C,86.39143731
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)O)C)C)C2C1)C)C(=O)O)C,34.5
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)O)C)C)C2C1)C)C(=O)O)C,103.5
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)O)C)C)C2C1)C)C(=O)O)C,200
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)C)C)C(=O)O,19.99197915
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)C)C)C(=O)O,22.69901745
COC1=C(C(=C(C=C1)C=O)OC)O,68.61722567
COC1=C(C(=C(C=C1)C=O)OC)O,242.3011473
COC1=CC(=CC2=C1OCO2)C3=C(C(=O)C4=C(O3)C5=C(C=C4)OC=C5)OC,51.5970516
